aha_id,mstate,facility_id,year,national_network,vendor_network,hio,tefca_part,tefca_plan,tefca_status
6110008,ME,200008,2023,1,0,1,1,0,Current TEFCA
6110050,ME,200033,2023,1,0,1,1,0,Current TEFCA
6110150,ME,201300,2023,1,0,1,1,0,Current TEFCA
6110240,ME,201309,2023,1,0,1,0,1,Planned TEFCA
6110260,ME,200050,2023,1,0,1,1,0,Current TEFCA
6110310,ME,201301,2023,1,0,1,1,0,Current TEFCA
6110410,ME,201313,2023,1,0,1,1,0,Current TEFCA
6110480,ME,200018,2023,1,0,1,1,0,Current TEFCA
6110555,ME,200039,2023,0,0,1,0,1,Planned TEFCA
6110582,ME,200041,2023,1,0,1,1,0,Current TEFCA
6120110,NH,300023,2023,0,0,0,0,0,Neither current nor planned
6120190,NH,300005,2023,0,0,0,0,1,Planned TEFCA
6120225,NH,300034,2024,1,0,0,1,0,Current TEFCA
6120420,NH,301301,2023,1,0,0,0,0,Neither current nor planned
6140002,MA,220035,2023,1,1,1,0,1,Planned TEFCA
6140008,MA,220001,2024,1,1,1,1,0,Current TEFCA
6140430,MA,220071,2023,1,1,1,0,1,Planned TEFCA
6140583,MA,220162,2023,0,1,1,0,0,Neither current nor planned
6141020,MA,220016,2024,1,0,1,0,1,Planned TEFCA
6141095,MA,220163,2024,1,1,1,1,0,Current TEFCA
6141170,MA,220010,2023,0,1,1,0,1,Planned TEFCA
6141300,MA,220049,2024,1,1,1,1,0,Current TEFCA
6141395,MA,220090,2024,0,0,1,1,0,Current TEFCA
6141530,MA,220101,2023,1,1,1,0,1,Planned TEFCA
6141570,MA,220015,2023,1,1,1,0,1,Planned TEFCA
6141660,MA,220030,2024,1,0,1,0,1,Planned TEFCA
6141720,MA,220060,2023,0,0,1,0,0,Neither current nor planned
6141890,MA,220019,2024,1,1,1,1,0,Current TEFCA
6141940,MA,220066,2024,0,0,1,1,0,Current TEFCA
6141955,MA,220077,2024,1,0,1,0,1,Planned TEFCA
6142200,MA,220065,2024,1,0,1,0,1,Planned TEFCA
6150200,RI,410008,2023,0,0,1,0,0,Neither current nor planned
6150220,RI,410013,2024,1,1,1,0,1,Planned TEFCA
6160002,CT,070010,2024,1,1,1,0,1,Planned TEFCA
6160004,CT,070002,2024,0,1,1,1,0,Current TEFCA
6160120,CT,070031,2023,0,0,1,1,0,Current TEFCA
6160160,CT,070018,2024,1,1,1,0,1,Planned TEFCA
6160215,CT,070036,2024,1,1,1,0,1,Planned TEFCA
6160400,CT,070022,2024,1,1,1,0,1,Planned TEFCA
6160480,CT,070007,2024,1,1,1,0,1,Planned TEFCA
6160650,CT,070008,2024,0,1,1,1,0,Current TEFCA
6160740,CT,070016,2024,0,1,1,1,0,Current TEFCA
6160750,CT,070005,2023,0,0,1,0,1,Planned TEFCA
6210009,NY,330103,2023,0,1,1,0,1,Planned TEFCA
6210070,NY,330057,2024,0,1,1,1,0,Current TEFCA
6210120,NY,331309,2024,0,0,1,0,0,Neither current nor planned
6210180,NY,330235,2024,0,0,1,0,0,Neither current nor planned
6210665,NY,330397,2023,1,1,1,0,1,Planned TEFCA
6211350,NY,330277,2023,1,1,1,0,1,Planned TEFCA
6211370,NY,330175,2023,1,1,1,0,1,Planned TEFCA
6211470,NY,330229,2023,0,1,1,0,1,Planned TEFCA
6211595,NY,330055,2023,1,1,1,0,1,Planned TEFCA
6212390,NY,331319,2024,0,0,1,0,0,Neither current nor planned
6212490,NY,331313,2023,1,1,1,1,0,Current TEFCA
6212500,NY,330162,2024,0,0,1,0,1,Planned TEFCA
6212600,NY,330184,2023,0,0,0,0,0,Neither current nor planned
6213660,NY,330188,2024,0,0,0,0,0,Neither current nor planned
6213710,NY,330033,2023,1,1,1,1,0,Current TEFCA
6213870,NY,330261,2024,0,0,1,0,1,Planned TEFCA
6213923,NY,330141,2023,1,1,1,1,0,Current TEFCA
6213930,NY,330267,2023,1,1,1,0,1,Planned TEFCA
6213950,NY,331314,2023,0,0,1,0,0,Neither current nor planned
6214050,NY,330185,2023,0,0,1,0,0,Neither current nor planned
6214735,NY,330160,2024,1,0,1,0,0,Neither current nor planned
6214870,NY,330140,2024,0,1,1,0,1,Planned TEFCA
6214990,NY,330180,2024,0,1,1,1,0,Current TEFCA
6215170,NY,330008,2024,1,1,1,0,0,Neither current nor planned
6215210,NY,330157,2023,1,0,1,0,0,Neither current nor planned
6215260,NY,330096,2024,0,0,0,0,0,Neither current nor planned
6220217,NJ,310011,2024,1,0,1,0,0,Neither current nor planned
6220275,NJ,310069,2023,1,0,1,1,0,Current TEFCA
6220280,NJ,310045,2024,1,1,1,0,1,Planned TEFCA
6220295,NJ,310005,2024,1,0,1,1,0,Current TEFCA
6221145,NJ,310060,2023,1,1,0,0,1,Planned TEFCA
6221260,NJ,310091,2023,0,0,1,0,0,Neither current nor planned
6221345,NJ,310086,2023,1,1,1,1,0,Current TEFCA
6230010,PA,390231,2023,1,1,1,1,0,Current TEFCA
6230039,PA,390067,2023,1,1,1,0,1,Planned TEFCA
6230043,PA,390174,2023,1,1,1,1,0,Current TEFCA
6230049,PA,390049,2023,1,1,0,0,1,Planned TEFCA
6230054,PA,390115,2023,1,1,1,1,0,Current TEFCA
6230340,PA,390058,2023,1,1,1,0,1,Planned TEFCA
6230440,PA,390183,2023,1,1,0,0,1,Planned TEFCA
6230515,PA,390329,2023,1,0,1,0,1,Planned TEFCA
6230552,PA,390330,2023,1,1,0,0,1,Planned TEFCA
6230555,PA,390156,2023,1,0,1,0,0,Neither current nor planned
6230563,PA,390332,2023,1,1,0,0,1,Planned TEFCA
6230590,PA,390203,2023,0,0,1,0,0,Neither current nor planned
6230615,PA,390086,2023,0,0,0,0,0,Neither current nor planned
6230880,PA,390233,2023,1,1,1,0,1,Planned TEFCA
6230990,PA,390125,2024,0,0,1,0,0,Neither current nor planned
6231010,PA,390173,2023,1,0,0,0,0,Neither current nor planned
6231130,PA,390258,2024,0,1,1,0,1,Planned TEFCA
6231150,PA,390012,2023,1,1,1,1,0,Current TEFCA
6231335,PA,390113,2023,1,0,1,0,0,Neither current nor planned
6231634,PA,390142,2023,1,0,1,0,1,Planned TEFCA
6232030,PA,390204,2024,1,1,1,0,1,Planned TEFCA
6232575,PA,390228,2023,1,0,1,0,1,Planned TEFCA
6232820,PA,390035,2023,1,1,0,0,1,Planned TEFCA
6232970,PA,390079,2023,1,1,1,0,1,Planned TEFCA
6233000,PA,390237,2024,1,0,0,0,0,Neither current nor planned
6233090,PA,390057,2023,0,0,1,0,0,Neither current nor planned
6233549,PA,390101,2023,1,1,1,0,1,Planned TEFCA
6239183,PA,390068,2023,1,1,1,0,1,Planned TEFCA
6310080,DE,080006,2024,1,1,1,0,1,Planned TEFCA
6310120,DE,080001,2023,1,1,1,0,1,Planned TEFCA
6310140,DE,080003,2024,1,1,1,0,1,Planned TEFCA
6320008,MD,210060,2023,1,0,1,0,0,Neither current nor planned
6320206,MD,210027,2024,1,1,1,0,1,Planned TEFCA
6320391,MD,210065,2024,0,1,1,0,1,Planned TEFCA
6320395,MD,210016,2023,1,0,1,0,0,Neither current nor planned
6320500,MD,210032,2023,1,1,1,0,1,Planned TEFCA
6320775,MD,210057,2023,1,0,1,0,0,Neither current nor planned
