facility_id,facility_name,cms_state,measure_id,measure_name,denominator,score,lower_estimate,higher_estimate,start_date,end_date,aha_id,mstate,year,national_network,vendor_network,hio,tefca_part,tefca_plan,tefca_status,log_denominator
010007,MIZELL MEMORIAL HOSPITAL,AL,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,125,4.8,2.3,9.6,07/01/2023,06/30/2024,6530765,AL,2023,0,0,0,1,0,Current TEFCA,4.8283137373023015
010023,BAPTIST MEDICAL CENTER SOUTH,AL,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,1003,4.1,2.8,5.9,07/01/2023,06/30/2024,6530705,AL,2024,1,1,1,1,0,Current TEFCA,6.910750787961936
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,1247,4.2,2.9,6.1,07/01/2023,06/30/2024,6530760,AL,2024,0,0,0,0,0,Neither current nor planned,7.1284959456800365
010034,COMMUNITY HOSPITAL INC,AL,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,37,4.2,2.2,7.7,07/01/2023,06/30/2024,6530380,AL,2024,0,0,0,0,0,Neither current nor planned,3.6109179126442243
010045,FAYETTE MEDICAL CENTER,AL,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,89,4.3,2.3,7.7,07/01/2023,06/30/2024,6530425,AL,2023,0,0,1,0,1,Planned TEFCA,4.48863636973214
010062,WIREGRASS MEDICAL CENTER,AL,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,37,5.1,3,8.3,07/01/2023,06/30/2024,6530475,AL,2023,1,0,1,0,0,Neither current nor planned,3.6109179126442243
010087,USA HEALTH UNIVERSITY HOSPITAL,AL,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,541,4.6,3.4,5.9,07/01/2023,06/30/2024,6530600,AL,2023,1,0,1,0,1,Planned TEFCA,6.293419278846481
010092,DCH REGIONAL MEDICAL CENTER,AL,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,1849,5.3,4.1,6.7,07/01/2023,06/30/2024,6530960,AL,2023,0,0,1,0,1,Planned TEFCA,7.522400231387125
010097,ELMORE COMMUNITY HOSPITAL,AL,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,75,4.5,2.4,8.2,07/01/2023,06/30/2024,6531017,AL,2023,0,0,0,0,0,Neither current nor planned,4.31748811353631
010126,TROY REGIONAL MEDICAL CENTER,AL,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,82,4.5,2.8,7.4,07/01/2023,06/30/2024,653095A,AL,2023,0,0,0,0,0,Neither current nor planned,4.406719247264253
