facility_id,facility_name,cms_state,measure_id,measure_name,denominator,score,lower_estimate,higher_estimate,start_date,end_date,aha_id,mstate,year,national_network,vendor_network,hio,tefca_part,tefca_plan,tefca_status,log_denominator
010007,MIZELL MEMORIAL HOSPITAL,AL,MORT_30_HF,Death rate for heart failure patients,34,13.4,8.6,20.3,07/01/2021,06/30/2024,6530765,AL,2023,0,0,0,1,0,Current TEFCA,3.5263605246161616
010007,MIZELL MEMORIAL HOSPITAL,AL,MORT_30_PN,Death rate for pneumonia patients,98,25.4,19.5,32.7,07/01/2021,06/30/2024,6530765,AL,2023,0,0,0,1,0,Current TEFCA,4.584967478670572
010023,BAPTIST MEDICAL CENTER SOUTH,AL,MORT_30_HF,Death rate for heart failure patients,251,12.5,9.4,16.2,07/01/2021,06/30/2024,6530705,AL,2024,1,1,1,1,0,Current TEFCA,5.5254529391317835
010023,BAPTIST MEDICAL CENTER SOUTH,AL,MORT_30_PN,Death rate for pneumonia patients,165,17.4,13.6,21.6,07/01/2021,06/30/2024,6530705,AL,2024,1,1,1,1,0,Current TEFCA,5.10594547390058
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,MORT_30_HF,Death rate for heart failure patients,272,13.7,10.5,18.1,07/01/2021,06/30/2024,6530760,AL,2024,0,0,0,0,0,Neither current nor planned,5.605802066295998
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,MORT_30_PN,Death rate for pneumonia patients,267,17.7,14,22.1,07/01/2021,06/30/2024,6530760,AL,2024,0,0,0,0,0,Neither current nor planned,5.58724865840025
010045,FAYETTE MEDICAL CENTER,AL,MORT_30_HF,Death rate for heart failure patients,47,10.8,6.7,17,07/01/2021,06/30/2024,6530425,AL,2023,0,0,1,0,1,Planned TEFCA,3.8501476017100584
010045,FAYETTE MEDICAL CENTER,AL,MORT_30_PN,Death rate for pneumonia patients,68,15.9,11.1,22.8,07/01/2021,06/30/2024,6530425,AL,2023,0,0,1,0,1,Planned TEFCA,4.219507705176107
010087,USA HEALTH UNIVERSITY HOSPITAL,AL,MORT_30_HF,Death rate for heart failure patients,50,12.5,8,19.1,07/01/2021,06/30/2024,6530600,AL,2023,1,0,1,0,1,Planned TEFCA,3.912023005428146
010087,USA HEALTH UNIVERSITY HOSPITAL,AL,MORT_30_PN,Death rate for pneumonia patients,47,16.4,11.6,22.7,07/01/2021,06/30/2024,6530600,AL,2023,1,0,1,0,1,Planned TEFCA,3.8501476017100584
010092,DCH REGIONAL MEDICAL CENTER,AL,MORT_30_HF,Death rate for heart failure patients,521,13.6,10.9,16.8,07/01/2021,06/30/2024,6530960,AL,2023,0,0,1,0,1,Planned TEFCA,6.255750041753367
010092,DCH REGIONAL MEDICAL CENTER,AL,MORT_30_PN,Death rate for pneumonia patients,588,16.2,13.5,19.3,07/01/2021,06/30/2024,6530960,AL,2023,0,0,1,0,1,Planned TEFCA,6.376726947898627
010097,ELMORE COMMUNITY HOSPITAL,AL,MORT_30_PN,Death rate for pneumonia patients,40,17.9,11.7,27,07/01/2021,06/30/2024,6531017,AL,2023,0,0,0,0,0,Neither current nor planned,3.6888794541139363
010126,TROY REGIONAL MEDICAL CENTER,AL,MORT_30_HF,Death rate for heart failure patients,29,12.3,7.5,19.6,07/01/2021,06/30/2024,653095A,AL,2023,0,0,0,0,0,Neither current nor planned,3.367295829986474
010126,TROY REGIONAL MEDICAL CENTER,AL,MORT_30_PN,Death rate for pneumonia patients,50,17.8,12,25.9,07/01/2021,06/30/2024,653095A,AL,2023,0,0,0,0,0,Neither current nor planned,3.912023005428146
010148,EVERGREEN MEDICAL CENTER,AL,MORT_30_HF,Death rate for heart failure patients,52,9.8,5.9,16,07/01/2021,06/30/2024,6530415,AL,2024,0,0,0,0,0,Neither current nor planned,3.9512437185814275
010148,EVERGREEN MEDICAL CENTER,AL,MORT_30_PN,Death rate for pneumonia patients,77,21.3,14.4,31.3,07/01/2021,06/30/2024,6530415,AL,2024,0,0,0,0,0,Neither current nor planned,4.343805421853684
010149,BAPTIST MEDICAL CENTER EAST,AL,MORT_30_HF,Death rate for heart failure patients,233,10.4,7.8,14.1,07/01/2021,06/30/2024,6530800,AL,2024,1,1,1,1,0,Current TEFCA,5.4510384535657
010149,BAPTIST MEDICAL CENTER EAST,AL,MORT_30_PN,Death rate for pneumonia patients,253,16.3,13,20.1,07/01/2021,06/30/2024,6530800,AL,2024,1,1,1,1,0,Current TEFCA,5.53338948872752
020012,FAIRBANKS MEMORIAL HOSPITAL,AK,MORT_30_HF,Death rate for heart failure patients,124,18.2,13.5,24.3,07/01/2021,06/30/2024,6940058,AK,2023,1,0,1,0,0,Neither current nor planned,4.820281565605037
020012,FAIRBANKS MEMORIAL HOSPITAL,AK,MORT_30_PN,Death rate for pneumonia patients,138,22.8,17.6,29.3,07/01/2021,06/30/2024,6940058,AK,2023,1,0,1,0,0,Neither current nor planned,4.927253685157205
020026,ALASKA NATIVE MEDICAL CENTER,AK,MORT_30_HF,Death rate for heart failure patients,109,13.5,9.5,18.6,07/01/2021,06/30/2024,6940010,AK,2024,1,0,1,0,1,Planned TEFCA,4.6913478822291435
020026,ALASKA NATIVE MEDICAL CENTER,AK,MORT_30_PN,Death rate for pneumonia patients,171,13.7,10.1,18.3,07/01/2021,06/30/2024,6940010,AK,2024,1,0,1,0,1,Planned TEFCA,5.14166355650266
021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,AK,MORT_30_HF,Death rate for heart failure patients,42,10.6,7.2,15.5,07/01/2021,06/30/2024,6940100,AK,2023,1,1,1,1,0,Current TEFCA,3.7376696182833684
021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,AK,MORT_30_PN,Death rate for pneumonia patients,64,13.3,9.4,18.3,07/01/2021,06/30/2024,6940100,AK,2023,1,1,1,1,0,Current TEFCA,4.1588830833596715
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,AZ,MORT_30_HF,Death rate for heart failure patients,240,9.1,6.8,12.3,07/01/2021,06/30/2024,6860250,AZ,2024,1,0,1,0,1,Planned TEFCA,5.480638923341991
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,AZ,MORT_30_PN,Death rate for pneumonia patients,243,13.7,10.8,17.2,07/01/2021,06/30/2024,6860250,AZ,2024,1,0,1,0,1,Planned TEFCA,5.493061443340548
030006,TUCSON MEDICAL CENTER,AZ,MORT_30_HF,Death rate for heart failure patients,584,14.6,12.1,17.5,07/01/2021,06/30/2024,6860020,AZ,2023,1,1,1,0,1,Planned TEFCA,6.369900982828227
