aha_id,mstate,mcrnum,year,national_network,vendor_network,hio,tefca_part,tefca_plan
6110008,ME,200008,2023,1,0,1,1,0
6110050,ME,200033,2023,1,0,1,1,0
6110090,ME,201304,2025,1,0,1,0,0
6110150,ME,201300,2023,1,0,1,1,0
6110200,ME,200031,2025,1,0,1,0,1
6110240,ME,201309,2023,1,0,1,0,1
6110260,ME,200050,2023,1,0,1,1,0
6110290,ME,201317,2025,1,0,1,1,0
6110310,ME,201301,2023,1,0,1,1,0
6110330,ME,201308,2025,0,1,1,1,0
6110370,ME,200024,2022,0,0,1,0,0
6110380,ME,200034,2025,1,0,1,0,1
6110386,ME,201311,2022,0,0,1,0,0
6110387,ME,201307,2025,0,0,1,0,0
6110410,ME,201313,2023,1,0,1,1,0
6110480,ME,200018,2023,1,0,1,1,0
6110555,ME,200039,2023,0,0,1,0,1
6110582,ME,200041,2023,1,0,1,1,0
6120001,NH,300029,2025,1,0,1,1,0
6120010,NH,301310,2025,1,1,0,0,1
6120020,NH,301308,2022,1,0,0,0,0
6120029,NH,301300,2025,1,1,0,0,1
6120030,NH,300001,2025,1,0,1,0,1
6120080,NH,300018,2025,1,1,1,0,1
6120090,NH,300017,2025,1,0,0,1,0
6120110,NH,300023,2023,0,0,0,0,0
6120170,NH,300003,2025,1,1,1,0,1
6120190,NH,300005,2023,0,0,0,0,1
6120210,NH,301303,2025,1,1,0,0,1
6120220,NH,301305,2025,0,0,0,0,0
6120225,NH,300034,2024,1,0,0,1,0
6120240,NH,300012,2022,1,1,0,0,0
6120300,NH,300011,2025,1,0,1,0,1
6120310,NH,301304,2025,0,0,0,0,0
6120340,NH,301309,2025,1,1,0,0,1
6120350,NH,301311,2025,1,1,0,0,0
6120380,NH,300014,2025,1,0,0,1,0
6120410,NH,301312,2025,1,1,0,0,0
6120420,NH,301301,2023,1,0,0,0,0
6130001,VT,470003,2025,1,1,1,1,0
6130015,VT,470001,2025,1,1,1,1,0
6130040,VT,470012,2025,0,0,1,0,0
6130060,VT,470011,2022,1,0,1,0,1
6130120,VT,471307,2025,1,1,1,1,0
6130150,VT,471304,2025,1,0,1,0,0
6130210,VT,470005,2025,1,0,1,0,1
6130212,VT,470024,2025,0,1,1,1,0
6130225,VT,471303,2025,1,1,1,1,0
6130255,VT,471300,2025,1,0,1,1,0
6130290,VT,471302,2025,1,0,1,0,1
6140002,MA,220035,2023,1,1,1,0,1
6140008,MA,220001,2024,1,1,1,1,0
6140011,MA,220070,2025,0,1,1,1,0
6140012,MA,220011,2025,1,1,1,0,1
6140013,MA,220086,2025,1,1,1,0,1
6140016,MA,220074,2025,1,1,1,0,1
6140065,MA,221303,2025,1,1,1,1,0
6140080,MA,220008,2025,1,0,1,0,0
6140215,MA,220110,2025,1,1,1,0,1
6140270,MA,223302,2025,1,1,0,1,0
6140310,MA,220119,2025,1,1,1,0,1
6140428,MA,220063,2025,0,1,1,1,0
6140430,MA,220071,2023,1,1,1,0,1
6140465,MA,220116,2025,1,1,1,0,1
6140583,MA,220162,2023,0,1,1,0,0
6140630,MA,220052,2025,1,0,1,1,0
6140850,MA,220084,2025,1,0,1,1,0
6140900,MA,220020,2025,1,1,1,1,0
6140923,MA,220135,2025,1,1,1,1,0
6140980,MA,220095,2025,1,1,1,1,0
6141010,MA,221302,2025,1,0,1,1,0
6141020,MA,220016,2024,1,0,1,0,1
6141095,MA,220163,2024,1,1,1,1,0
6141110,MA,220024,2025,1,0,1,0,0
6141130,MA,220012,2025,1,1,1,1,0
6141170,MA,220010,2023,0,1,1,0,1
6141300,MA,220049,2024,1,1,1,1,0
6141395,MA,220090,2024,0,0,1,1,0
6141430,MA,220177,2025,1,1,1,0,1
6141530,MA,220101,2023,1,1,1,0,1
6141570,MA,220015,2023,1,1,1,0,1
6141640,MA,221300,2025,1,1,1,0,1
6141660,MA,220030,2024,1,0,1,0,1
6141705,MA,220046,2025,1,0,1,1,0
6141720,MA,220060,2023,0,0,1,0,0
6141890,MA,220019,2024,1,1,1,1,0
6141940,MA,220066,2024,0,0,1,1,0
6141955,MA,220077,2024,1,0,1,0,1
6142000,MA,220073,2025,1,1,1,1,0
6142200,MA,220065,2024,1,0,1,0,1
6149199,MA,221304,2025,1,0,1,1,0
6150080,RI,410006,2025,1,1,1,1,0
6150130,RI,410012,2025,1,1,1,1,0
6150150,RI,410007,2025,1,1,1,1,0
6150200,RI,410008,2023,0,0,1,0,0
6150205,RI,410011,2025,0,0,1,0,1
6150220,RI,410013,2024,1,1,1,0,1
6160001,CT,070017,2025,1,1,1,0,1
6160002,CT,070010,2024,1,1,1,0,1
6160003,CT,070025,2025,1,1,1,0,1
6160004,CT,070002,2024,0,1,1,1,0
6160009,CT,070006,2025,1,1,1,0,1
6160010,CT,070028,2025,1,1,1,0,1
6160013,CT,070035,2025,1,1,1,0,1
6160070,CT,070029,2025,1,0,1,0,0
6160100,CT,070033,2025,1,0,1,1,0
6160120,CT,070031,2023,0,0,1,1,0
6160160,CT,070018,2024,1,1,1,0,1
6160215,CT,070036,2024,1,1,1,0,1
6160340,CT,070020,2025,1,1,1,0,1
6160400,CT,070022,2024,1,1,1,0,1
6160450,CT,073300,2025,1,1,1,1,0
6160480,CT,070007,2024,1,1,1,0,1
6160530,CT,070034,2025,1,0,1,1,0
6160560,CT,070024,2025,1,1,1,0,1
6160610,CT,070004,2025,1,0,1,1,0
6160650,CT,070008,2024,0,1,1,1,0
6160710,CT,070011,2025,1,1,1,0,1
6160740,CT,070016,2024,0,1,1,1,0
6160750,CT,070005,2023,0,0,1,0,1
6160810,CT,070021,2025,1,1,1,0,1
6210001,NY,330136,2025,1,1,1,1,0
6210007,NY,330079,2025,1,0,1,0,1
6210009,NY,330103,2023,0,1,1,0,1
6210024,NY,330101,2025,1,1,1,0,1
6210025,NY,330028,2025,0,0,1,1,0
6210030,NY,330013,2025,1,1,1,0,1
6210033,NY,330073,2025,1,1,1,0,1
6210034,NY,330399,2025,0,1,1,1,0
6210037,NY,330264,2025,1,1,1,0,1
6210039,NY,330208,2025,1,0,1,0,0
6210041,NY,330126,2022,1,1,1,0,1
6210070,NY,330057,2024,0,1,1,1,0
6210120,NY,331309,2024,0,0,1,0,0
6210170,NY,330047,2025,1,0,1,1,0
6210180,NY,330235,2024,0,0,1,0,0
6210280,NY,330043,2025,0,0,1,0,0
6210335,NY,330332,2025,1,1,1,0,1
6210469,NY,330350,2022,0,1,1,0,0
6210545,NY,330056,2025,0,1,1,0,1
6210570,NY,330196,2025,1,1,1,1,0
6210665,NY,330397,2023,1,1,1,0,1
6210690,NY,330202,2025,1,1,1,1,0
6210740,NY,330019,2025,0,0,1,0,0
6210747,NY,330194,2022,0,0,1,0,0
6210965,NY,330396,2025,1,1,1,1,0
6210970,NY,330221,2025,1,0,1,0,1
6211025,NY,330005,2022,0,0,1,0,0
6211070,NY,330219,2025,0,0,1,0,1
6211120,NY,330354,2025,0,0,1,0,1
6211185,NY,330197,2025,1,1,1,0,1
6211200,NY,330273,2025,1,0,1,1,0
6211225,NY,330094,2025,1,1,1,0,1
6211290,NY,330265,2025,1,1,1,0,1
6211295,NY,331320,2025,1,1,1,1,0
6211350,NY,330277,2023,1,1,1,0,1
6211370,NY,330175,2023,1,1,1,0,1
6211450,NY,331305,2025,1,1,1,1,0
6211470,NY,330229,2023,0,1,1,0,1
6211490,NY,331302,2025,1,1,1,1,0
6211500,NY,331310,2025,0,1,1,0,1
6211570,NY,330395,2025,0,0,1,0,1
6211595,NY,330055,2023,1,1,1,0,1
6211600,NY,330193,2025,1,1,1,0,1
6211650,NY,330058,2025,0,0,1,0,0
6211660,NY,330181,2025,0,0,1,0,0
6211670,NY,330191,2025,1,1,1,0,1
6211680,NY,330195,2025,0,0,1,0,0
