term,estimate,conventional_se,conventional_p_value,conventional_conf_low,conventional_conf_high,robust_se_hc1,statistic_hc1,robust_p_value_hc1,robust_conf_low_hc1,robust_conf_high_hc1
(Intercept),15.349407792473198,1.2380668629992713,1.013077013012971e-30,12.916549639039458,17.782265945906936,1.8562554058611271,8.269017153570267,1.4103877468624537e-15,11.701780807235522,18.997034777710873
tefca_statusCurrent TEFCA,-0.024154034765771572,0.2651460584544106,0.9274544206738865,-0.5451781970625792,0.49687012753103604,0.2637348117874827,-0.0915845526878525,0.9270673123599416,-0.5424050326538136,0.4940969631222704
tefca_statusNeither current nor planned,0.4391514648061129,0.26071342195678054,0.09276684123991845,-0.07316236352832484,0.9514652931405506,0.25329015431392876,1.7337881371489352,0.08361424074518053,-0.058575302239662064,0.9368782318518878
national_network,0.022888018437536562,0.2126403492721057,0.9143295905058195,-0.39496001783281554,0.4407360547078887,0.2235353371945999,0.10239105246080746,0.9184901417420529,-0.4163691686557285,0.46214520553080163
vendor_network,-0.4621219972103879,0.2259397566813883,0.041380712196476564,-0.9061039788422429,-0.018140015578532898,0.20881027643979116,-2.2131190336488884,0.02737115942223634,-0.8724437647493661,-0.051800229671409626
hio,0.37360218612096546,0.2682905200616437,0.1644236606142354,-0.15360098741339673,0.9008053596553276,0.25185848922023324,1.483381351478987,0.13864622917572322,-0.1213112933712231,0.8685156656131541
log_denominator,-0.38628801569500026,0.09381239980929136,4.524704213553656e-5,-0.5706336827911356,-0.2019423485988649,0.09199319121473286,-4.199093548057452,3.2088512648292207e-5,-0.567058854488772,-0.20551717690122856
mstateAL,-1.8113607314799463,1.2854283945319764,0.15945506785515667,-4.337286465988682,0.7145650030287898,1.8722961265673048,-0.9674541894187014,0.33381671289830517,-5.490508468401774,1.8677870054418821
mstateAR,-1.988911565334471,1.4041974429516628,0.1573223518150603,-4.748223925766956,0.7704007950980141,1.9921162295328938,-0.998391326695243,0.3186055612424964,-5.90351129855553,1.9256881678865874
mstateAZ,-2.9584599633052693,1.2128196385134615,0.015085244960172583,-5.341706162992768,-0.575213763617771,1.8672021717110352,-1.5844347270623864,0.1137702859765821,-6.627597845367339,0.7106779187568009
mstateCA,-2.6429923040167447,1.1744244137187843,0.02488346856242564,-4.950790126491108,-0.3351944815423815,1.8300040837295948,-1.4442548667051383,0.14933641877610174,-6.239034237594613,0.9530496295611233
mstateCO,-1.9126446925154028,1.2648694973518557,0.13117622505441792,-4.398171251401997,0.5728818663711908,1.8869859123122197,-1.0135977592814893,0.31129845808380074,-5.620658531979653,1.795369146948847
mstateCT,-1.743815398969921,1.2754332159415676,0.1722083398511297,-4.250100149251202,0.7624693513113605,1.9548421898694066,-0.8920491935394625,0.3728249822708858,-5.585169935169031,2.097539137229189
mstateDC,-3.5001444423315253,2.2170761787781514,0.11507572729822564,-7.856800790646471,0.8565119059834205,1.8192101097285125,-1.9239913100822998,0.05496178904679033,-7.074975722073729,0.07468683741067794
mstateDE,-2.2547835920212504,1.5758801040804244,0.15315229134474104,-5.35146025353717,0.8418930694946694,2.0037298583921164,-1.1252932038606196,0.26104157146717877,-6.1922046384569,1.6826374544143992
mstateFL,-2.11182737700856,1.2148047385251626,0.08279645863007311,-4.4989743892395335,0.27531963522241343,1.824414092803803,-1.1575373076421773,0.24764332776496747,-5.696884722105894,1.473229968088774
mstateGA,-2.56592185315293,1.2503923084272728,0.04071634850893511,-5.023000071997009,-0.10884363430885102,1.8213166093367492,-1.4088280093636967,0.15955006863476248,-6.144892501212196,1.0130487949063354
mstateIA,-0.7621410667993658,1.1933654964174736,0.5233640427665165,-3.1071589852600927,1.5828768516613612,1.8586701569765542,-0.4100464323584551,0.681959523248334,-4.414513148699631,2.890231015100899
mstateID,-0.7834970086544658,1.3318692868484732,0.5566357272828737,-3.4006812259653487,1.8336872086564173,2.065540770621603,-0.37931810390684306,0.7046237035680843,-4.842379331764938,3.2753853144560066
mstateIL,-3.0470547336268,1.2115548745459472,0.012237456256725569,-5.427815614126381,-0.6662938531272187,1.866454581775772,-1.6325362338727727,0.10323917361745645,-6.714723567187706,0.6206140999341065
mstateIN,-1.8066537227013955,1.2969502925671947,0.1642806505722153,-4.355220515149528,0.7419130697467367,1.898248483932333,-0.9517477495669093,0.34171619357756633,-5.536799031808767,1.923491586405977
mstateKS,-2.0644689146614112,1.3210972254684896,0.11880082489936912,-4.660485537441822,0.5315477081190001,1.9653429540354341,-1.0504369786567997,0.2940593603351597,-5.926457933926093,1.797520104603271
mstateKY,-0.48387899158361247,1.3291821516237305,0.7159905717601338,-3.0957828649677896,2.128024881800565,1.8370746601512056,-0.2633964759732658,0.7923609343111374,-4.093814932028864,3.126056948861639
