term,estimate,hc3_se,hc3_statistic,hc3_p_value,hc3_conf_low,hc3_conf_high
(Intercept),15.349407792473174,2.619768833820697,5.859069546257425,8.786070433230756e-9,10.20144191280159,20.49737367214476
tefca_statusCurrent TEFCA,-0.02415403476575015,0.28206784909839455,-0.08563200252335185,0.9317955788844381,-0.5784302915731749,0.5301222220416746
tefca_statusNeither current nor planned,0.43915146480611683,0.2659218871734735,1.651430310885382,0.09932153315611049,-0.08339723649682135,0.961700166109055
national_network,0.022888018437542457,0.23627024762423549,0.0968721989657521,0.9228693570563604,-0.4413938515689955,0.48716988844408043
vendor_network,-0.46212199721038794,0.22002549697390997,-2.100311116512034,0.03623604583141896,-0.8944821873373751,-0.029761807083400815
hio,0.37360218612095436,0.2648599998833134,1.4105647749208956,0.15903730375661915,-0.1468598579673362,0.894064230209245
log_denominator,-0.3862880156950016,0.09724759733988321,-3.9722114094491574,8.242728798436047e-5,-0.5773840034488676,-0.19519202794113552
mstateAL,-1.811360731479822,2.645680713525776,-0.6846482730207855,0.49390481040390455,-7.010244642879175,3.3875231799195307
mstateAR,-1.9889115653344043,2.78637467590234,-0.7137990387779831,0.47570727279176117,-7.464265563880354,3.486442433211546
mstateAZ,-2.958459963305204,2.620693100196898,-1.1288845546557622,0.25952486154265136,-8.108242068785334,2.1913221421749265
mstateCA,-2.6429923040166776,2.6052704655525716,-1.0144790488983282,0.3108784010718367,-7.762468225264575,2.4764836172312195
mstateCO,-1.9126446925153424,2.650749038420741,-0.7215487640636304,0.4709322709042568,-7.121488094725309,3.2961987096946244
mstateCT,-1.7438153989698568,2.706953197675195,-0.6441985773775081,0.5197622664612056,-7.063102551178782,3.5754717532390687
mstateDE,-2.254783592021193,2.874644313886325,-0.7843695935282088,0.4332201021931008,-7.903591476530739,3.394024292488353
mstateFL,-2.111827377008502,2.6040985854387695,-0.8109629139300333,0.4177991838236751,-7.229000500099922,3.005345746082918
mstateGA,-2.565921853152876,2.6085948075065075,-0.9836414017881061,0.32580009813475896,-7.691930258767443,2.5600865524616916
mstateIA,-0.7621410667993032,2.631390176908783,-0.28963438166156946,0.772224232179959,-5.9329434184989065,4.408661284900301
mstateID,-0.7834970086544082,2.8282487666170932,-0.27702549291360945,0.7818828459693105,-6.341135515458837,4.77414149815002
mstateIL,-3.0470547336267377,2.6349903431152852,-1.1563817459855579,0.24811499128666092,-8.224931576996353,2.1308221097428777
mstateIN,-1.8066537227013362,2.6722845612740342,-0.676070860447586,0.4993296082750496,-7.05781541476131,3.4445079693586385
mstateKS,-2.064468914661348,2.7341606076017446,-0.7550649764031919,0.45058980522779757,-7.437219874885673,3.3082820455629767
mstateKY,-0.48387899158354425,2.620371414563018,-0.1846604603051043,0.8535753528702936,-5.633028970043224,4.665270986876136
mstateLA,-1.9482867382761395,2.703085444120193,-0.7207640226520006,0.4714145796611896,-7.259973577405879,3.3634001008536005
mstateMA,-2.900125031088949,2.612068573922695,-1.1102790562399603,0.26744892428356754,-8.032959546989897,2.232709484811999
mstateMD,-2.7828280668937726,2.6275477659271074,-1.0590970421090997,0.2901018976131482,-7.946079904832781,2.380423771045236
mstateME,-1.8270230397217029,2.7693763337542303,-0.6597236415481851,0.5097557116241489,-7.268974516541403,3.614928437097997
mstateMI,-1.7787393430677836,2.607711396650972,-0.6821074392481393,0.49550845945764765,-6.903011805845214,3.3455331197096463
mstateMN,-1.6041441366584135,3.332115995841716,-0.48141905583727895,0.6304437136211685,-8.15190485212736,4.943616578810534
mstateMO,-2.109836892723256,4.420813004021555,-0.47725087914914405,0.6334062754321208,-10.796937148023503,6.57726336257699
mstateMS,-2.4382817891721977,2.6013433859649933,-0.9373163890347732,0.34907927996478416,-7.55004081896669,2.6734772406222946
mstateMT,-1.8545771563517808,2.7076908194598848,-0.6849294398840269,0.4937275231141891,-7.175313769188936,3.4661594564853746
mstateNC,-2.1079340785932925,2.610254580457875,-0.8075588083916059,0.41975485733917683,-7.237204014160936,3.021335856974351
mstateNE,-2.2543829119685985,3.6024006209054025,-0.6258001675010808,0.5317510846428273,-9.3332653087343,4.824499484797103
mstateNH,-1.688851555042479,2.9090729505467348,-0.5805463059030795,0.5618256987955965,-7.405313289205972,4.027610179121013
mstateNJ,-1.863893958910198,2.6425840711068393,-0.7053300514785555,0.48095576426226005,-7.056692825969597,3.3289049081492004
mstateNV,-2.076188409281104,2.6577555276579803,-0.7811811085237946,0.4350909612877186,-7.29879988410265,3.1464230655404415
mstateNY,-2.2849984143589963,2.620206754378375,-0.872067981101398,0.38361846034329117,-7.43382482800588,2.8638279992878872
mstateOH,-2.008614411538038,2.5960025168034306,-0.7737336148700392,0.4394789930232721,-7.1098783885413965,3.0926495654653205
mstateOK,-2.3181055334222957,2.64719893715763,-0.8756824056114608,0.3816519235337089,-7.519972823871584,2.883761757026993
mstateOR,-0.6744296543564147,2.6475044433440202,-0.25474165153980005,0.7990345431069764,-5.87689727846998,4.528037969757151
mstatePA,-2.187027835263837,2.61781821571668,-0.8354391539234876,0.4038967909535661,-7.331160660921604,2.95710499039393
mstateRI,-1.9568424492621264,2.625653128457319,-0.7452783568604332,0.45647758056331467,-7.116371237700392,3.2026863391761395
mstateSC,-1.043062705270232,2.636646718489923,-0.3956019962612289,0.6925789339388271,-6.224194402198865,4.1380689916584
mstateSD,-1.5555414735361597,2.8407716280577304,-0.5475770942557963,0.5842433625360464,-7.137787977267643,4.026705030195324
mstateTN,-1.8243503860338035,2.986386410918846,-0.610888925613779,0.5415696881453926,-7.69273661479269,4.044035842725082
mstateTX,-2.4368815562782733,2.6435981397765604,-0.9218048384934334,0.35710533117711885,-7.631673114770585,2.757910002214039
mstateUT,-1.8735013011971953,2.6257208642748995,-0.7135188384598407,0.4758804160466862,-7.033163193622818,3.2861605912284277
mstateVA,-1.069692853139378,2.6325969832782974,-0.4063260954615697,0.6846887464926111,-6.242866634689366,4.103480928410611
mstateWA,0.086317055523244507,2.6556137634780725,0.03250361807516563,0.9740842880511853,-5.1320857544809595,5.304719865527449
mstateWI,-1.0310466865105372,2.637924761151034,-0.39085522896439606,0.6960821124666685,-6.214689795868857,4.1525964228477825
mstateWV,-2.9615635877686173,2.745658189681567,-1.078635206268006,0.2813059941222699,-8.356907823965054,2.433780648427819
mstateWY,-1.3950562308460492,2.810649660906297,-0.4963465387558163,0.6198829728210997,-6.918111687977435,4.127999226285336
year2024,0.2274760216751626,0.20232410543969015,1.1243149756219724,0.26145576321655334,-0.1701001224457608,0.625052165796086
