term,estimate,hc3_se,hc3_statistic,hc3_p_value,hc3_conf_low,hc3_conf_high
(Intercept),17.45394994799475,3.616902642957515,4.825662084651188,1.7909063794020516e-6,10.349971785926474,24.557928110063028
tefca_statusCurrent TEFCA,0.47882071707455165,0.31824554860288135,1.504563753292405,0.1329862966021688,-0.1462470966395769,1.10388853078868
tefca_statusNeither current nor planned,0.5884412699367563,0.2898193810722152,2.0303723917971257,0.04277923440325551,0.01920544654792511,1.1576770933255873
national_network,-0.12545263895393405,0.25863110479552304,-0.48506400285115925,0.6278160120646843,-0.6334313991996432,0.38252612129177516
vendor_network,-0.743866260381771,0.2632362577768909,-2.825850309011169,0.0048796876905385835,-1.2608900266566914,-0.22684249410685042
hio,0.17172728758571454,0.32702177349925565,0.5251249351019296,0.5996991108079461,-0.4705779572023848,0.8140325323738139
log_denominator,-0.22408173479271742,0.11104718086998237,-2.0178966547118344,0.04406678129709962,-0.44219010699223615,-0.005973362593198667
mstateAL,1.4896494373289009,3.7110686078291457,0.4014071403008357,0.6882697884525739,-5.799280608738982,8.778579483396785
mstateAR,1.121222077415117,3.6785672469663138,0.3047985811159984,0.7606300431314705,-6.103871868928982,8.346316023759215
mstateAZ,-0.029264973142846432,3.6668762812817834,-0.00798090006260496,0.9936350035888727,-7.23139663017067,7.172866683884976
mstateCA,-0.7584491573913694,3.6550352813778653,-0.20750802632620588,0.8356867226741389,-7.9373238420762195,6.42042552729348
mstateCO,0.5413619855052358,3.6717060257064196,0.14744153854231298,0.8828352946963509,-6.670255798827614,7.752979769838086
mstateCT,-1.2389833751445876,3.6542090509204845,-0.3390565120603845,0.7346911614054199,-8.416235256092241,5.938268505803066
mstateDE,-0.8990476327445572,3.614956234316172,-0.2487022178055848,0.8036800905079875,-7.999202843009172,6.201107577520057
mstateFL,-1.5875317406577327,3.632593727777944,-0.43702430264031344,0.6622580839564511,-8.722328847803375,5.54726536648791
mstateGA,0.10494122734363942,3.6542377098012464,0.028717679493638404,0.9770997376191188,-7.072366942667663,7.282249397354941
mstateIA,0.1693960965418013,3.6229848935451536,0.04675594889826998,0.9627240006637218,-6.94652824700165,7.285320440085252
mstateID,0.13203310682040886,3.7130520198352297,0.035559185843635974,0.9716462150044418,-7.160792569561174,7.4248587832019926
mstateIL,-0.3849029505341521,3.6260103763231344,-0.10615053752947429,0.915500000831792,-7.506769661264715,6.736963760196411
mstateIN,1.0303357271155156,3.6684758151104115,0.28086207434476573,0.7789173964117655,-6.174937583008829,8.23560903723986
mstateKS,1.1987637307082832,3.6620018546514017,0.32735202719398887,0.7435209956423217,-5.993794038451073,8.391321499867638
mstateKY,2.078149782456385,3.7422419774364184,0.5553221290836993,0.5788906968059462,-5.272008048484101,9.428307613396871
mstateLA,1.6192842004362258,3.804995930203329,0.4255679191619255,0.6705822314650687,-5.854129010603478,9.09269741147593
mstateMA,-1.3094304818476206,3.656276366736535,-0.3581322500017614,0.7203760086664122,-8.490742789038682,5.871881825343442
mstateMD,0.9731173714257783,3.6303252441867966,0.2680523936482059,0.7887552882159082,-6.157224194754751,8.103458937606307
mstateME,-0.8687987176831248,3.6936008252169943,-0.23521727408973167,0.8141239895753153,-8.123420196873186,6.385822761506937
mstateMI,0.2105614981672126,3.616370149650951,0.058224542691664403,0.9535900350679289,-6.892370790900129,7.313493787234554
mstateMN,-0.5994860783149145,3.808154514065371,-0.15742167921514744,0.8749678876808864,-8.079103081105194,6.880130924475364
mstateMO,-1.0009057300235809,3.6791778592042554,-0.27204602993562804,0.785684451213508,-8.22719898318681,6.225387523139648
mstateMS,2.236567685369451,3.9794881515185634,0.5620239589144101,0.5743190877042393,-5.57956664703851,10.052702017777412
mstateMT,-1.81559854780484,3.691388462734229,-0.4918470559611647,0.6230155049698723,-9.06587471380414,5.43467761819446
mstateNC,0.4414211214275237,3.6516090088960484,0.12088400492827511,0.9038252142142539,-6.73072400283205,7.613566245687098
mstateND,-1.0844937948458402,3.685200715793133,-0.29428350814059645,0.768647662928942,-8.32261657340809,6.15362898371641
mstateNE,-0.037923251492568796,3.701719867068594,-0.01024476536702394,0.9918295624440847,-7.30849138496236,7.2326448819772216
mstateNH,-0.8217898533887943,3.966261428234565,-0.20719507986506672,0.835930991960709,-8.611945506622684,6.9683657998450945
mstateNJ,-1.9381184184829723,3.751334279159578,-0.5166477509749343,0.6056010662947804,-9.30613448871282,5.4298976517468756
mstateNM,2.7995236853888525,3.6088260529909064,0.7757435920383794,0.4382198868005228,-4.288591202378003,9.887638573155709
mstateNV,1.923657863893303,3.7197642131125805,0.5171451075076738,0.6052540791687557,-5.382351267828093,9.2296669956147
mstateNY,0.09872415860116741,3.6769349303711594,0.026849580009076186,0.9785890401650834,-7.12316374583629,7.3206120630386255
mstateOH,0.3243184158197339,3.606803169095303,0.08991852358305512,0.9283833274129927,-6.7598233146804345,7.408460146319903
mstateOK,-0.17033450571001607,3.6700368858392247,-0.04641220538334339,0.9629978510602877,-7.378673923347241,7.038004911927208
mstateOR,0.7899990476056675,3.638786474571691,0.21710508520526905,0.8282035960028009,-6.356961267214822,7.936959362426157
mstatePA,-0.29657811890810143,3.62493026738092,-0.0818162273566671,0.9348213722160524,-7.41632338178795,6.823167143971747
mstateRI,1.1987826428532768,5.190291920092848,0.23096632353423235,0.8174232656718694,-8.995497959886219,11.393063245592774
mstateSC,0.24163995447736145,3.6340260762959424,0.06649373158149104,0.9470079012681247,-6.895970436186471,7.379250345141194
mstateSD,-0.4126840618191459,3.6788551221448036,-0.11217730737342753,0.9107220388285036,-7.638343425367761,6.81297530172947
mstateTN,2.7209725723301976,4.513738929533911,0.6028201043101014,0.546866458883225,-6.1444866202530495,11.586431764913444
mstateTX,0.3254054399170545,3.6419146264226137,0.0893501010584354,0.9288348448500272,-6.827698894975376,7.478509774809486
mstateUT,-0.3966435018432204,3.621011478948829,-0.10953942127749484,0.9128129402351668,-7.50869185103988,6.715404847353439
mstateVA,1.7116333891634048,3.6201912560678515,0.47280192346040084,0.6365342274205643,-5.398803955809562,8.822070734136371
mstateWA,1.0257855879083462,3.638956430712464,0.28189004387378985,0.7781294253250844,-6.121508538693036,8.17307971450973
mstateWI,-0.22481199731336377,3.6400477927212407,-0.06176072681323175,0.9507748778393341,-7.374249673974727,6.924625679348001
mstateWV,-0.6572042979694932,3.604830662952429,-0.18231211377658157,0.8554021604915567,-7.737471818421236,6.42306322248225
mstateWY,0.46626642536889124,3.860390198232983,0.12078220113145957,0.903905814932652,-7.115946968930554,8.048479819668335
year2024,0.1641206626057337,0.23956594943840415,0.685075082625344,0.49357309089116697,-0.3064121222618092,0.6346534474732766
