facility_id,facility_name,mstate,year,tefca_status,score,denominator,hat_value
090003,HOWARD UNIVERSITY HOSPITAL CORP,DC,2023,Neither current nor planned,4.3,449,1
410008,SOUTH COUNTY HOSPITAL INC,RI,2023,Neither current nor planned,4.4,863,0.5076144639562497
410013,WESTERLY HOSPITAL,RI,2024,Planned TEFCA,4.4,528,0.5076144639562488
321307,MINERS' COLFAX MEDICAL CENTER,NM,2024,Neither current nor planned,4.3,47,0.5058859437355393
320065,COVENANT HEALTH HOBBS HOSPITAL,NM,2023,Planned TEFCA,4,119,0.5058859437355391
080001,CHRISTIANA HOSPITAL,DE,2023,Planned TEFCA,3,7869,0.3405482915131554
080003,ST FRANCIS HOSPITAL,DE,2024,Planned TEFCA,4.7,348,0.33621013917884546
080006,"TIDALHEALTH NANTICOKE, INC.",DE,2024,Planned TEFCA,4.1,817,0.3344694135214921
511317,"CAMC PLATEAU MEDICAL CENTER, INC",WV,2024,Planned TEFCA,4.4,91,0.26461773793139165
260141,UNIVERSITY OF MISSOURI HEALTH CARE,MO,2024,Current TEFCA,4.3,2066,0.2638879213875408
510024,MON HEALTH MEDICAL CENTER,WV,2024,Neither current nor planned,4.8,948,0.26375756105387627
300034,CATHOLIC MEDICAL CENTER,NH,2024,Current TEFCA,3.3,1790,0.2628840381995771
350019,ALTRU HOSPITAL,ND,2023,Planned TEFCA,3.9,1418,0.2626075187380726
021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,AK,2023,Current TEFCA,4.2,172,0.2623834900848019
020026,ALASKA NATIVE MEDICAL CENTER,AK,2024,Planned TEFCA,3.9,812,0.2623829069833086
260022,NORTHEAST REGIONAL MEDICAL CENTER,MO,2024,Neither current nor planned,4.5,344,0.26190498908548265
261322,EXCELSIOR SPRINGS HOSPITAL,MO,2023,Neither current nor planned,4.4,34,0.26164298803851727
300005,CONCORD HOSPITAL- LACONIA,NH,2023,Planned TEFCA,3.9,637,0.26055046299552514
440152,REGIONAL ONE HEALTH,TN,2023,Neither current nor planned,5.1,272,0.2600287912307485
301301,COTTAGE HOSPITAL,NH,2023,Neither current nor planned,4.9,113,0.2598318855740565
351319,PEMBINA COUNTY MEMORIAL HOSPITAL,ND,2023,Neither current nor planned,4,56,0.2597291028742293
261332,CARROLL COUNTY MEMORIAL HOSPITAL,MO,2024,Planned TEFCA,4.2,35,0.2594629354082674
440057,CLAIBORNE MEDICAL CENTER,TN,2024,Planned TEFCA,5,122,0.25924390547624043
351302,MCKENZIE COUNTY HEALTHCARE SYSTEMS INC,ND,2024,Neither current nor planned,4.4,100,0.25909707023590645
440102,LINCOLN MEDICAL CENTER,TN,2023,Neither current nor planned,4.4,137,0.2569919017357105
021304,PETERSBURG MEDICAL CENTER,AK,2023,Neither current nor planned,4.3,30,0.25658063607449644
440065,TRISTAR NORTHCREST MEDICAL CENTER,TN,2024,Neither current nor planned,4.2,349,0.25572900734542336
351323,CAVALIER COUNTY MEMORIAL HOSPITAL ASSOCIATION,ND,2023,Neither current nor planned,4.2,48,0.2556155445331547
511311,HAMPSHIRE MEMORIAL HOSPITAL,WV,2024,Planned TEFCA,3.8,81,0.2552515931717046
020012,FAIRBANKS MEMORIAL HOSPITAL,AK,2023,Neither current nor planned,4.8,624,0.2546014109249764
511309,VALLEY HEALTH WAR MEMORIAL HOSPITAL,WV,2024,Planned TEFCA,3.9,124,0.25445540021456226
300023,EXETER HOSPITAL INC,NH,2023,Neither current nor planned,4.4,1024,0.2544275420578002
291308,HUMBOLDT GENERAL HOSPITAL,NV,2023,Neither current nor planned,5.3,102,0.21427467074579915
291313,BANNER CHURCHILL COMMUNITY HOSPITAL,NV,2024,Planned TEFCA,4.2,177,0.21391139295041012
290001,RENOWN REGIONAL MEDICAL CENTER,NV,2023,Neither current nor planned,3.7,3622,0.21236919714424032
251337,TIPPAH COUNTY HOSPITAL,MS,2024,Planned TEFCA,5.8,112,0.21013394199580115
250050,BAPTIST MEMORIAL HOSPITAL-OKTIBBEHA COUNTY,MS,2024,Planned TEFCA,4.9,252,0.2089599323777739
290049,RENOWN SOUTH MEADOWS MEDICAL CENTER,NV,2023,Neither current nor planned,4.1,802,0.2075005985829301
291302,WILLIAM BEE RIRIE HOSPITAL,NV,2024,Neither current nor planned,4.5,101,0.2070154633544767
250099,GREENWOOD LEFLORE HOSPITAL,MS,2023,Neither current nor planned,4.7,136,0.2065965210053515
250042,NORTHWEST MISSISSISSIPPI REGIONAL MEDICAL CENTER,MS,2023,Neither current nor planned,4.7,53,0.20605065827027474
250172,HIGHLAND HILLS MEDICAL CENTER,MS,2023,Neither current nor planned,4.5,65,0.2059091474490599
310060,ST LUKE'S WARREN HOSPITAL,NJ,2023,Planned TEFCA,3.6,767,0.18491300931941973
310011,CAPE REGIONAL MEDICAL CENTER INC,NJ,2024,Neither current nor planned,4.4,1210,0.1788268445184335
310069,INSPIRA MEDICAL CENTER MULLICA HILL,NJ,2023,Current TEFCA,3.7,1990,0.17743061589182613
310045,ENGLEWOOD HOSPITAL AND MEDICAL CENTER,NJ,2024,Planned TEFCA,3.7,2359,0.17662454710925918
310086,JEFFERSON STRATFORD HOSPITAL,NJ,2023,Current TEFCA,4.1,3290,0.1749086694319096
310005,HUNTERDON MEDICAL CENTER,NJ,2024,Current TEFCA,3.7,1326,0.17423732745368115
240014,NORTHFIELD HOSPITAL,MN,2023,Planned TEFCA,4,105,0.16231434592069532
240001,NORTH MEMORIAL HEALTH HOSPITAL,MN,2023,Planned TEFCA,4,1312,0.16135971656981657
241337,NORTH VALLEY HEALTH CENTER,MN,2024,Neither current nor planned,4,27,0.15728525508731045
241334,RIVER'S EDGE HOSPITAL & CLINIC,MN,2023,Neither current nor planned,4.5,326,0.15535950488682523
241374,PIPESTONE COUNTY  MEDICAL CENTER,MN,2024,Neither current nor planned,4.2,44,0.15339775743548825
241335,ST ELIZABETH MEDICAL CENTER,MN,2023,Neither current nor planned,4.4,40,0.15321397831772518
241359,AVERA MARSHALL REGIONAL MEDICAL CTR,MN,2024,Neither current nor planned,4.2,167,0.1526979550635304
040069,GREAT RIVER MEDICAL CENTER,AR,2024,Current TEFCA,4.1,51,0.14587489454205435
180013,THE MEDICAL CENTER (BOWLING GREEN),KY,2024,Neither current nor planned,5.4,1537,0.14142927198453042
420027,ANMED HEALTH,SC,2024,Current TEFCA,4.5,2048,0.14125042380870798
271345,CENTRAL MONTANA MEDICAL CENTER,MT,2024,Neither current nor planned,4,110,0.14106290726790946
530015,ST JOHNS MEDICAL CENTER,WY,2024,Neither current nor planned,3.6,423,0.14083203056697213
420098,TIDELANDS WACCAMAW COMMUNITY HOSPITAL,SC,2023,Planned TEFCA,4.2,1383,0.14046085810999565
531304,HOT SPRINGS COUNTY MEMORIAL HOSPITAL,WY,2023,Neither current nor planned,4.1,73,0.13951427956863152
270057,BOZEMAN HEALTH DEACONESS HOSPITAL,MT,2023,Planned TEFCA,3.6,1056,0.13877531368481805
040019,FORREST CITY MEDICAL CENTER,AR,2024,Neither current nor planned,4.6,66,0.13798631364847205
210065,HOLY CROSS GERMANTOWN HOSPITAL,MD,2024,Planned TEFCA,3.7,860,0.13674152383288907
210004,HOLY CROSS HOSPITAL,MD,2024,Planned TEFCA,4.1,1543,0.13629174398432312
151332,DECATUR COUNTY MEMORIAL HOSPITAL,IN,2023,Current TEFCA,4.5,163,0.13599200541613127
271317,LIVINGSTON HEALTHCARE,MT,2023,Neither current nor planned,4.6,224,0.1348945699631988
210057,ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,MD,2023,Neither current nor planned,4.4,2198,0.1344982756789717
210060,ADVENTIST HEALTHCARE FORT WASHINGTON MEDICAL CTR,MD,2023,Neither current nor planned,4.5,451,0.13433318111117531
040050,OUACHITA COUNTY MEDICAL CENTER,AR,2024,Neither current nor planned,4.8,140,0.1341662343017213
210016,ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER,MD,2023,Neither current nor planned,3.6,1667,0.13406702351104569
531302,MEMORIAL HOSPITAL OF CONVERSE COUNTY,WY,2024,Neither current nor planned,4.7,172,0.13385610926778746
