term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),4.738766006405108,0.2452535634348172,19.321904807570977,8.932351916467648e-66,4.257159902785952,5.220372110024263
tefca_statusCurrent TEFCA,0.10848031782157228,0.054618062829850926,1.9861619435225282,0.047444844824751684,0.0012264534604869426,0.2157341821826576
tefca_statusNeither current nor planned,0.080499825651311,0.05027338196113922,1.60124150218373,0.10982077295756228,-0.018222359107063685,0.1792220104096857
national_network,-0.02559592534066353,0.04216972600957179,-0.6069739541313051,0.5440851557804722,-0.10840490536005047,0.05721305467872341
vendor_network,-0.18628956893811935,0.044623435577174964,-4.174702519619693,3.400398073333646e-5,-0.2739169152544775,-0.09866222262176123
hio,-0.026339132410012633,0.05059171234447348,-0.5206214850106741,0.6028119577515836,-0.12568642472415156,0.07300815990412629
log_denominator,-0.07464139974787158,0.014601475162868307,-5.111908140465519,4.226287547405155e-7,-0.10331441661170143,-0.04596838288404173
mstateAL,0.11979053174430115,0.2552474502470837,0.4693113746223203,0.6390081827915222,-0.38144063591167393,0.6210216994002762
mstateAR,0.29814398264606223,0.26965094270390344,1.1056663835714686,0.269289670437139,-0.23137142187679327,0.8276593871689177
mstateAZ,-0.12604227474457333,0.24400842515058802,-0.5165488636992237,0.6056509602385625,-0.6052032917801283,0.3531187422909817
mstateCA,-0.012803660410036909,0.2354391015409402,-0.054382047528373265,0.956647886419483,-0.4751370379344906,0.4495297171144168
mstateCO,-0.05904098064896235,0.24845104528323597,-0.2376362739052082,0.8122398660160475,-0.546926001291149,0.42884403999322424
mstateCT,-0.31451969411866365,0.26303166545479706,-1.1957484038084951,0.23224108496436285,-0.8310367785352987,0.20199739029797137
mstateDC,-0.03708996301303437,0.4913019258520205,-0.0754932172283115,0.9398460711027457,-1.001862922461044,0.9276829964349753
mstateDE,-0.02359188681452987,0.33777575529365345,-0.06984481995760677,0.9443391622579037,-0.6868844527846427,0.639700679155583
mstateFL,-0.10215732762839586,0.24226899554567222,-0.4216690105075261,0.6734093330538209,-0.5779026148257748,0.37358795956898305
mstateGA,0.019019171603642537,0.24726553643551014,0.07691800433580831,0.9387130030325062,-0.4665378571881381,0.5045762003954232
mstateIA,0.11190894257920257,0.23092600389697718,0.4846095315845348,0.6281204642614503,-0.34156203416655867,0.5653799193249638
mstateID,0.24513805097750546,0.26120935041965687,0.9384734910280532,0.34835794901687867,-0.26780054091347977,0.7580766428684906
mstateIL,0.012656527130624862,0.24124672043489764,0.052463001809138904,0.9581762744537891,-0.4610813114244927,0.48639436568574246
mstateIN,-0.007430000759066304,0.26433131635580787,-0.028108666281013103,0.9775843135688732,-0.526499218558535,0.5116392170404024
mstateKS,0.22067324233642385,0.24087049868225147,0.9161488996937264,0.3599365900797935,-0.2523258069841926,0.6936722916570403
mstateKY,0.4216571889679756,0.2652280293620277,1.5897912071443516,0.1123795943478252,-0.099172910308369,0.9424872882443203
mstateLA,0.604227326172402,0.2570261231986719,2.350840135052561,0.01903593280370167,0.09950336624939493,1.1089512860954092
mstateMA,-0.5009029542622585,0.24748687136506278,-2.023957681065784,0.043392732690339206,-0.9868946199723525,-0.014911288552164503
mstateMD,-0.08911680071698015,0.27032115822957004,-0.3296700905716665,0.7417579732525582,-0.6199483120616115,0.4417147106276512
mstateME,-0.2101018749619865,0.26607403401750995,-0.7896368983835529,0.43003460268497007,-0.7325932793792806,0.3123895294553076
mstateMI,-0.08579556200258476,0.23385956074205902,-0.36686788314468366,0.7138397867923025,-0.5450271844332379,0.37343606042806843
mstateMN,-0.10835127629854863,0.2763523981133247,-0.3920764829191628,0.6951332563052022,-0.6510263747443292,0.43432382214723203
mstateMO,-0.024634394217961125,0.3105625012509321,-0.0793218566914385,0.9368016122158228,-0.634488106689839,0.5852193182539168
mstateMS,0.5065500437662995,0.29623299446425694,1.7099717223680806,0.08775960478797695,-0.07516471800629909,1.0882648055388982
mstateMT,-0.21535401333111923,0.2696117750430224,-0.798755964188711,0.4247305712676469,-0.7447925040498261,0.3140844773875876
mstateNC,0.012758798762844702,0.2336160960922235,0.05461438221195158,0.956462858539678,-0.44599473046608656,0.47151232799177595
mstateND,-0.18973168148078035,0.31197481455668585,-0.6081634562404911,0.5432965250441391,-0.8023587632719357,0.422895400310375
mstateNE,-0.030786632421460923,0.2517594243977318,-0.12228591837270776,0.9027112735079319,-0.5251683398082247,0.46359507496530294
mstateNH,-0.18753744808732514,0.3145088387611923,-0.5962867333904184,0.5511961901804201,-0.8051406105784591,0.43006571440380875
mstateNJ,-0.24084563481984714,0.2847020043874109,-0.8459569342972177,0.3978954318019524,-0.7999169123388239,0.3182256426991297
mstateNM,-0.15590338385532398,0.38002235127425166,-0.4102479323454657,0.6817624595565419,-0.9021558799338371,0.5903491122231891
mstateNV,0.11505454808250117,0.2944904225269631,0.39069028831308406,0.6961572141279588,-0.4632383132322915,0.6933474093972938
mstateNY,-0.06703547131326025,0.2402070816216059,-0.2790736678565542,0.7802791550312524,-0.5387317640044632,0.4046608213779427
mstateOH,-0.006798719238850446,0.23642209052185667,-0.028756700458250625,0.9770676698414116,-0.47106239896307445,0.45746496048537355
mstateOK,0.04893173541117367,0.24047537466493515,0.20347919398962325,0.8388256941375604,-0.4232914061682423,0.5211548769905896
