Outcome,Predictor,Estimate,SE,95% CI,p-value
Heart failure mortality,Current TEFCA vs planned TEFCA,-0.024,0.265,"[-0.545, 0.497]",0.927
Heart failure mortality,Neither vs planned TEFCA,0.439,0.261,"[-0.073, 0.951]",0.093
Heart failure mortality,National network participation,0.023,0.213,"[-0.395, 0.441]",0.914
Heart failure mortality,EHR vendor-network participation,-0.462,0.226,"[-0.906, -0.018]",0.041
Heart failure mortality,State/regional/local HIO participation,0.374,0.268,"[-0.154, 0.901]",0.164
Heart failure mortality,Log CMS denominator,-0.386,0.094,"[-0.571, -0.202]",<0.001
Pneumonia mortality,Current TEFCA vs planned TEFCA,0.479,0.302,"[-0.115, 1.073]",0.114
Pneumonia mortality,Neither vs planned TEFCA,0.588,0.281,"[0.037, 1.14]",0.037
Pneumonia mortality,National network participation,-0.125,0.239,"[-0.595, 0.345]",0.6
Pneumonia mortality,EHR vendor-network participation,-0.744,0.255,"[-1.245, -0.243]",0.004
Pneumonia mortality,State/regional/local HIO participation,0.172,0.287,"[-0.392, 0.735]",0.55
Pneumonia mortality,Log CMS denominator,-0.224,0.116,"[-0.452, 0.004]",0.054
